bitstring,exact,log2alpha_neg10,log2alpha_neg8,log2alpha_neg6,log2alpha_neg4
0,0.0,0.0,0.0,0.0,0.015667
1,0.0,0.0,0.0,0.0,0.015772
2,0.0,1.0e-6,0.0,0.0,0.015768
3,0.000211,0.000257,0.000741,0.0,0.01554
4,4.0e-6,4.0e-6,0.0,0.009815,0.015611
5,0.000478,0.000613,0.001688,0.009559,0.015478
6,0.001874,0.002315,0.007543,0.024206,0.015885
7,0.003208,0.003165,0.00279,0.009897,0.015421
8,1.0e-6,5.0e-6,0.0,0.011348,0.015671
9,0.00182,0.002409,0.007038,0.02756,0.015784
10,0.000501,0.000616,0.002038,0.01127,0.01551
11,0.003219,0.003182,0.002933,0.011192,0.015768
12,0.001765,0.002317,0.006842,0.020013,0.015446
13,0.026893,0.026313,0.023494,0.019683,0.015602
14,0.026871,0.026828,0.02328,0.019676,0.015591
15,0.000232,0.000269,0.000985,0.003139,0.015615
16,0.0,0.0,0.0,0.003283,0.015739
17,0.000759,0.000954,0.002939,0.019881,0.0155
18,0.001228,0.001526,0.004748,0.020222,0.015467
19,0.026536,0.025907,0.023181,0.020006,0.015729
20,0.000566,0.000714,0.002095,0.011497,0.015461
21,0.020505,0.02024,0.018474,0.011178,0.015713
22,0.061981,0.060874,0.054947,0.028292,0.015566
23,0.000523,0.000682,0.002155,0.011595,0.015567
24,0.002122,0.002597,0.007964,0.029393,0.015707
25,0.225545,0.223978,0.210114,0.045496,0.015549
26,0.062531,0.062145,0.055522,0.029088,0.01574
27,0.002002,0.002635,0.008006,0.029209,0.015704
28,0.026402,0.026279,0.02293,0.020099,0.01555
29,0.000787,0.000991,0.002937,0.020096,0.015594
30,0.001265,0.001532,0.004635,0.02019,0.015484
31,1.0e-6,1.0e-6,0.0,0.003517,0.015584
32,0.0,0.0,0.0,0.003588,0.015498
33,0.001242,0.001465,0.004819,0.01995,0.015536
34,0.000823,0.00091,0.002877,0.020302,0.015838
35,0.026492,0.026098,0.022908,0.020244,0.015534
36,0.002031,0.002742,0.008196,0.029149,0.015193
37,0.062507,0.061653,0.055492,0.02894,0.015521
38,0.226022,0.225146,0.210136,0.045496,0.015748
39,0.002067,0.002746,0.007935,0.028921,0.015632
40,0.000516,0.000622,0.002144,0.011545,0.015461
41,0.061389,0.061296,0.055292,0.027771,0.015511
42,0.020628,0.020484,0.018847,0.011376,0.015527
43,0.000548,0.00068,0.002078,0.011618,0.015673
44,0.026734,0.025926,0.022697,0.020132,0.015562
45,0.001211,0.001574,0.004726,0.019932,0.015611
46,0.000787,0.000965,0.002927,0.019841,0.015774
47,0.0,0.0,0.0,0.003537,0.015707
48,0.000225,0.000292,0.001022,0.003241,0.01574
49,0.02678,0.026644,0.023068,0.019541,0.015393
50,0.027014,0.026391,0.023636,0.019822,0.015723
51,0.001798,0.002284,0.006654,0.019884,0.015776
52,0.003176,0.003225,0.002865,0.011186,0.015621
53,0.000465,0.000621,0.002006,0.011169,0.015463
54,0.001848,0.002383,0.007089,0.027849,0.015608
55,3.0e-6,3.0e-6,0.0,0.011379,0.015889
56,0.003282,0.003139,0.002793,0.009813,0.015585
57,0.001845,0.002428,0.007377,0.024116,0.015723
58,0.000548,0.000652,0.001698,0.009696,0.015732
59,0.0,1.0e-6,0.0,0.009562,0.015918
60,0.000187,0.000281,0.000699,0.0,0.01569
61,1.0e-6,0.0,0.0,0.0,0.015598
62,1.0e-6,0.0,0.0,0.0,0.015656
63,0.0,0.0,0.0,0.0,0.015776
