beta,alpha,tvd
0.1,2.3283064365386963e-10,4.8129046650396924e-8
0.1,2.495417051334619e-10,5.452560640034588e-8
0.1,2.6745217735810076e-10,6.097981696855039e-8
0.1,2.8664814618996274e-10,7.037648760564903e-8
0.1,3.072218761716254e-10,7.994662351912458e-8
0.1,3.2927225399135965e-10,8.786212379624948e-8
0.1,3.529052637774496e-10,9.836997257354433e-8
0.1,3.782344965060405e-10,1.1058227539258582e-7
0.1,4.053816959709509e-10,1.231708090110718e-7
0.1,4.344773439396203e-10,1.3606465013740287e-7
0.1,4.656612873077393e-10,1.5484159676673538e-7
0.1,4.990834102669238e-10,1.6973467372390669e-7
0.1,5.349043547162015e-10,1.870190599110829e-7
0.1,5.732962923799255e-10,2.083061541073236e-7
0.1,6.144437523432508e-10,2.2888855751471517e-7
0.1,6.585445079827193e-10,2.526100560296292e-7
0.1,7.058105275548992e-10,2.8039727715940235e-7
0.1,7.56468993012081e-10,3.0973002685874746e-7
0.1,8.107633919419018e-10,3.3957963883616735e-7
0.1,8.689546878792406e-10,3.7425936576823584e-7
0.1,9.313225746154785e-10,4.1045678474393174e-7
0.1,9.981668205338477e-10,4.5474671030138565e-7
0.1,1.069808709432403e-9,4.964678315385403e-7
0.1,1.146592584759851e-9,5.486792711021575e-7
0.1,1.2288875046865017e-9,6.04493829534905e-7
0.1,1.3170890159654386e-9,6.550133264230404e-7
0.1,1.4116210551097985e-9,7.180678046713579e-7
0.1,1.512937986024162e-9,7.963835097196789e-7
0.1,1.6215267838838037e-9,8.692632434919407e-7
0.1,1.7379093757584813e-9,9.476945552247518e-7
0.1,1.862645149230957e-9,1.0449037639559107e-6
0.1,1.9963336410676953e-9,1.1477664941805256e-6
0.1,2.139617418864806e-9,1.2587240647227236e-6
0.1,2.293185169519702e-9,1.3776499659183235e-6
0.1,2.4577750093730034e-9,1.5033312177801475e-6
0.1,2.634178031930877e-9,1.6404484254511139e-6
0.1,2.823242110219597e-9,1.8022286155616697e-6
0.1,3.025875972048324e-9,1.9792027194794027e-6
0.1,3.2430535677676073e-9,2.1574147761728533e-6
0.1,3.4758187515169625e-9,2.335601534533973e-6
0.1,3.725290298461914e-9,2.3354498011493813e-6
0.1,3.992667282135391e-9,2.3353999058363752e-6
0.1,4.279234837729612e-9,2.3356184483094746e-6
0.1,4.586370339039404e-9,2.3359095032253203e-6
0.1,4.915550018746007e-9,2.336411786814499e-6
0.1,5.268356063861754e-9,2.3370463953751328e-6
0.1,5.646484220439194e-9,2.3372631100378953e-6
0.1,6.051751944096648e-9,2.338098743454362e-6
0.1,6.486107135535215e-9,2.3391118641110384e-6
0.1,6.951637503033925e-9,2.3497238840425392e-6
0.1,7.450580596923828e-9,2.387062070429894e-6
0.1,7.985334564270781e-9,2.43061547733849e-6
0.1,8.558469675459224e-9,2.47736027710166e-6
0.1,9.172740678078808e-9,2.527419374418789e-6
0.1,9.831100037492013e-9,2.580916649995267e-6
0.1,1.0536712127723509e-8,2.6449317643719274e-6
0.1,1.1292968440878388e-8,2.7413339840252297e-6
0.1,1.2103503888193296e-8,2.808511376660883e-6
0.1,1.297221427107043e-8,2.904379594388933e-6
0.1,1.390327500606785e-8,3.0143931452694542e-6
0.1,1.4901161193847656e-8,3.259581410749356e-6
0.1,1.5970669128541563e-8,3.5000219778406395e-6
0.1,1.711693935091845e-8,3.822691979915729e-6
0.1,1.8345481356157615e-8,4.099783148627683e-6
0.1,1.9662200074984027e-8,4.4756365908419575e-6
0.1,2.1073424255447017e-8,4.825057038566519e-6
0.1,2.2585936881756776e-8,5.234630275570624e-6
0.1,2.4207007776386593e-8,5.830999100616546e-6
0.1,2.594442854214086e-8,6.511972235315698e-6
0.1,2.78065500121357e-8,7.0397772374898885e-6
0.1,2.9802322387695312e-8,7.819909246732973e-6
0.1,3.1941338257083125e-8,8.656466774333791e-6
0.1,3.42338787018369e-8,9.551378654104522e-6
