beta,alpha,tvd
0.5,2.3283064365386963e-10,0.0042170000000000055
0.5,2.495417051334619e-10,0.004521999999999993
0.5,2.6745217735810076e-10,0.003782
0.5,2.8664814618996274e-10,0.0038880000000000078
0.5,3.072218761716254e-10,0.004169999999999998
0.5,3.2927225399135965e-10,0.004702000000000003
0.5,3.529052637774496e-10,0.004705000000000001
0.5,3.782344965060405e-10,0.004462999999999999
0.5,4.053816959709509e-10,0.004258999999999997
0.5,4.344773439396203e-10,0.004623999999999998
0.5,4.656612873077393e-10,0.004461999999999997
0.5,4.990834102669238e-10,0.004927999999999997
0.5,5.349043547162015e-10,0.004716999999999997
0.5,5.732962923799255e-10,0.0038479999999999955
0.5,6.144437523432508e-10,0.003787999999999997
0.5,6.585445079827193e-10,0.004163000000000003
0.5,7.058105275548992e-10,0.004365999999999997
0.5,7.56468993012081e-10,0.0038179999999999976
0.5,8.107633919419018e-10,0.004149000000000002
0.5,8.689546878792406e-10,0.004007999999999998
0.5,9.313225746154785e-10,0.004287000000000003
0.5,9.981668205338477e-10,0.004524
0.5,1.069808709432403e-9,0.0038479999999999916
0.5,1.146592584759851e-9,0.003860999999999997
0.5,1.2288875046865017e-9,0.004477000000000001
0.5,1.3170890159654386e-9,0.004620000000000003
0.5,1.4116210551097985e-9,0.003989000000000005
0.5,1.512937986024162e-9,0.004120000000000009
0.5,1.6215267838838037e-9,0.004575999999999997
0.5,1.7379093757584813e-9,0.003837999999999998
0.5,1.862645149230957e-9,0.005298000000000003
0.5,1.9963336410676953e-9,0.0038080000000000037
0.5,2.139617418864806e-9,0.003810000000000001
0.5,2.293185169519702e-9,0.004698999999999998
0.5,2.4577750093730034e-9,0.004123999999999997
0.5,2.634178031930877e-9,0.004099999999999998
0.5,2.823242110219597e-9,0.003591000000000002
0.5,3.025875972048324e-9,0.003885999999999997
0.5,3.2430535677676073e-9,0.004744000000000001
0.5,3.4758187515169625e-9,0.004352999999999992
0.5,3.725290298461914e-9,0.004772999999999996
0.5,3.992667282135391e-9,0.004613000000000004
0.5,4.279234837729612e-9,0.003851000000000001
0.5,4.586370339039404e-9,0.004225999999999998
0.5,4.915550018746007e-9,0.004635000000000002
0.5,5.268356063861754e-9,0.004241999999999996
0.5,5.646484220439194e-9,0.00445600000000001
0.5,6.051751944096648e-9,0.003930000000000003
0.5,6.486107135535215e-9,0.005114999999999996
0.5,6.951637503033925e-9,0.004452000000000003
0.5,7.450580596923828e-9,0.004090000000000005
0.5,7.985334564270781e-9,0.0037919999999999864
0.5,8.558469675459224e-9,0.0043570000000000015
0.5,9.172740678078808e-9,0.004272999999999998
0.5,9.831100037492013e-9,0.004071999999999999
0.5,1.0536712127723509e-8,0.004600000000000006
0.5,1.1292968440878388e-8,0.004131999999999995
0.5,1.2103503888193296e-8,0.004146999999999999
0.5,1.297221427107043e-8,0.0044639999999999975
0.5,1.390327500606785e-8,0.004549000000000003
0.5,1.4901161193847656e-8,0.004043999999999999
0.5,1.5970669128541563e-8,0.0041309999999999914
0.5,1.711693935091845e-8,0.004864999999999991
0.5,1.8345481356157615e-8,0.0038309999999999998
0.5,1.9662200074984027e-8,0.004243999999999995
0.5,2.1073424255447017e-8,0.004036999999999995
0.5,2.2585936881756776e-8,0.004118000000000002
0.5,2.4207007776386593e-8,0.003708999999999996
0.5,2.594442854214086e-8,0.004297999999999996
0.5,2.78065500121357e-8,0.004553000000000004
0.5,2.9802322387695312e-8,0.003905000000000001
0.5,3.1941338257083125e-8,0.0040939999999999995
0.5,3.42338787018369e-8,0.00455799999999999
0.5,3.669096271231523e-8,0.005038999999999998
0.5,3.9324400149968054e-8,0.004620999999999999
0.5,4.2146848510894035e-8,0.0044619999999999955
0.5,4.517187376351355e-8,0.004725999999999994
0.5,4.8414015552773186e-8,0.004408000000000002
0.5,5.188885708428172e-8,0.0038489999999999987
0.5,5.56131000242714e-8,0.003969
0.5,5.960464477539063e-8,0.004188999999999997
0.5,6.388267651416625e-8,0.004456
0.5,6.84677574036738e-8,0.004201000000000002
0.5,7.338192542463046e-8,0.0035539999999999934
0.5,7.864880029993611e-8,0.003982999999999995
0.5,8.429369702178807e-8,0.005002999999999997
0.5,9.03437475270271e-8,0.0037340000000000042
0.5,9.682803110554637e-8,0.004287999999999993
0.5,1.0377771416856343e-7,0.0042049999999999935
0.5,1.112262000485428e-7,0.004128000000000003
0.5,1.1920928955078125e-7,0.004679000000000001
0.5,1.277653530283325e-7,0.0036840000000000024
0.5,1.369355148073476e-7,0.004360999999999993
0.5,1.4676385084926092e-7,0.004191000000000007
0.5,1.5729760059987222e-7,0.004015999999999995
0.5,1.6858739404357614e-7,0.003960999999999991
0.5,1.806874950540542e-7,0.003930999999999999
0.5,1.9365606221109274e-7,0.0034360000000000124
0.5,2.0755542833712687e-7,0.004293999999999991
0.5,2.224524000970856e-7,0.0038020000000000037
0.5,2.384185791015625e-7,0.004727000000000002
0.5,2.55530706056665e-7,0.003801
0.5,2.738710296146952e-7,0.0040040000000000076
0.5,2.9352770169852185e-7,0.004079999999999988
0.5,3.1459520119974443e-7,0.004215
0.5,3.371747880871523e-7,0.004077999999999995
0.5,3.613749901081084e-7,0.004060000000000003
0.5,3.873121244221855e-7,0.004344
0.5,4.1511085667425373e-7,0.004081999999999999
0.5,4.449048001941712e-7,0.005015999999999994
0.5,4.76837158203125e-7,0.004313999999999992
0.5,5.1106141211333e-7,0.004676999999999995
0.5,5.477420592293904e-7,0.004078999999999996
0.5,5.870554033970437e-7,0.004295999999999998
0.5,6.291904023994889e-7,0.0039040000000000012
0.5,6.743495761743046e-7,0.004183999999999996
0.5,7.227499802162168e-7,0.003956999999999997
0.5,7.74624248844371e-7,0.004325000000000004
0.5,8.302217133485075e-7,0.0037399999999999946
0.5,8.898096003883424e-7,0.004658999999999995
0.5,9.5367431640625e-7,0.003893
0.5,1.02212282422666e-6,0.0037820000000000024
0.5,1.0954841184587807e-6,0.004626000000000006
0.5,1.1741108067940874e-6,0.0038490000000000004
0.5,1.2583808047989777e-6,0.00426399999999999
0.5,1.3486991523486091e-6,0.0044379999999999975
0.5,1.4454999604324336e-6,0.004452
0.5,1.549248497688742e-6,0.004812999999999999
0.5,1.660443426697015e-6,0.004611
0.5,1.7796192007766848e-6,0.004068000000000002
0.5,1.9073486328125e-6,0.004514999999999998
0.5,2.04424564845332e-6,0.005017000000000001
0.5,2.1909682369175614e-6,0.004130999999999996
0.5,2.3482216135881748e-6,0.003990999999999995
0.5,2.5167616095979554e-6,0.004141000000000003
0.5,2.6973983046972182e-6,0.003907000000000001
0.5,2.8909999208648673e-6,0.004352000000000001
0.5,3.098496995377484e-6,0.003999999999999997
0.5,3.32088685339403e-6,0.004312000000000002
0.5,3.5592384015533696e-6,0.004290000000000006
0.5,3.814697265625e-6,0.0042109999999999995
0.5,4.08849129690664e-6,0.0050199999999999915
0.5,4.381936473835123e-6,0.004067999999999995
0.5,4.6964432271763496e-6,0.004382999999999998
0.5,5.033523219195911e-6,0.003921999999999997
0.5,5.3947966093944364e-6,0.004515999999999993
0.5,5.781999841729735e-6,0.004347999999999997
0.5,6.196993990754968e-6,0.003973000000000004
0.5,6.64177370678806e-6,0.004097999999999996
0.5,7.118476803106739e-6,0.0037250000000000004
0.5,7.62939453125e-6,0.004239000000000008
0.5,8.17698259381328e-6,0.004529999999999997
0.5,8.763872947670246e-6,0.004165999999999996
0.5,9.392886454352699e-6,0.0037579999999999975
0.5,1.0067046438391822e-5,0.004306999999999991
0.5,1.0789593218788873e-5,0.004445999999999998
0.5,1.156399968345947e-5,0.004097999999999994
0.5,1.2393987981509936e-5,0.004462000000000001
0.5,1.328354741357612e-5,0.004326000000000002
0.5,1.4236953606213478e-5,0.0049499999999999995
0.5,1.52587890625e-5,0.0044190000000000045
0.5,1.635396518762654e-5,0.004769999999999993
0.5,1.752774589534049e-5,0.004398999999999995
0.5,1.8785772908705398e-5,0.0053170000000000075
0.5,2.013409287678367e-5,0.004651999999999995
0.5,2.1579186437577746e-5,0.0052299999999999985
0.5,2.312799936691891e-5,0.0056609999999999985
0.5,2.478797596301987e-5,0.005602999999999997
0.5,2.656709482715224e-5,0.005750000000000002
0.5,2.847390721242699e-5,0.005329
0.5,3.0517578125e-5,0.0058769999999999985
0.5,3.270793037525308e-5,0.0059670000000000036
0.5,3.505549179068098e-5,0.005660999999999998
0.5,3.7571545817410796e-5,0.005788999999999999
0.5,4.026818575356734e-5,0.006332999999999994
0.5,4.315837287515549e-5,0.006756999999999996
0.5,4.625599873383782e-5,0.006809999999999999
0.5,4.957595192603974e-5,0.007068999999999999
0.5,5.313418965430448e-5,0.0068010000000000015
0.5,5.694781442485398e-5,0.007162999999999999
0.5,6.103515625e-5,0.008139
0.5,6.541586075050616e-5,0.008518000000000001
0.5,7.011098358136196e-5,0.008134999999999998
0.5,7.514309163482159e-5,0.008592
0.5,8.053637150713468e-5,0.008824000000000002
0.5,8.631674575031098e-5,0.008442
0.5,9.251199746767564e-5,0.008863999999999995
0.5,9.915190385207948e-5,0.008301
0.5,0.00010626837930860896,0.008350999999999994
0.5,0.00011389562884970796,0.008620999999999995
0.5,0.0001220703125,0.009463000000000006
0.5,0.00013083172150101232,0.009686999999999998
0.5,0.00014022196716272393,0.010195000000000001
0.5,0.00015028618326964319,0.010749000000000002
0.5,0.00016107274301426937,0.011227000000000004
0.5,0.00017263349150062197,0.013350000000000004
0.5,0.0001850239949353513,0.015205999999999997
0.5,0.00019830380770415897,0.016468999999999987
0.5,0.0002125367586172179,0.01901299999999999
0.5,0.00022779125769941593,0.022140999999999997
0.5,0.000244140625,0.024862
0.5,0.00026166344300202464,0.029904
0.5,0.00028044393432544786,0.028346999999999997
0.5,0.00030057236653928637,0.029175
0.5,0.00032214548602853873,0.028434
0.5,0.00034526698300124393,0.028627999999999994
0.5,0.0003700479898707026,0.029143000000000002
0.5,0.00039660761540831794,0.028023
0.5,0.0004250735172344358,0.029342
0.5,0.00045558251539883185,0.028631000000000004
0.5,0.00048828125,0.029015999999999997
0.5,0.0005233268860040493,0.028343
0.5,0.0005608878686508957,0.028489999999999998
0.5,0.0006011447330785727,0.02995699999999999
0.5,0.0006442909720570775,0.02892
0.5,0.0006905339660024879,0.028081999999999996
0.5,0.0007400959797414052,0.029308999999999995
0.5,0.0007932152308166359,0.028917
0.5,0.0008501470344688716,0.02912499999999999
0.5,0.0009111650307976637,0.02847999999999999
0.5,0.0009765625,0.028913
0.5,0.0010466537720080985,0.028574999999999993
0.5,0.0011217757373017914,0.028741999999999993
0.5,0.0012022894661571455,0.028159999999999998
0.5,0.001288581944114155,0.028725
0.5,0.0013810679320049757,0.029365000000000002
0.5,0.0014801919594828103,0.029031999999999995
0.5,0.0015864304616332718,0.029227
0.5,0.0017002940689377433,0.028168999999999993
0.5,0.0018223300615953274,0.028340999999999998
0.5,0.001953125,0.028071000000000002
0.5,0.002093307544016197,0.142147
0.5,0.002243551474603583,0.14182199999999998
0.5,0.002404578932314291,0.14171699999999998
0.5,0.00257716388822831,0.14166299999999996
0.5,0.0027621358640099515,0.14058099999999998
0.5,0.0029603839189656206,0.142274
0.5,0.0031728609232665435,0.141686
0.5,0.0034005881378754866,0.141882
0.5,0.003644660123190655,0.141653
0.5,0.00390625,0.140818
0.5,0.004186615088032394,0.14221100000000003
0.5,0.004487102949207168,0.14175500000000002
0.5,0.0048091578646285785,0.141643
0.5,0.00515432777645662,0.14185199999999998
0.5,0.005524271728019903,0.14157899999999998
0.5,0.005920767837931241,0.14226900000000003
0.5,0.0063457218465330905,0.14183699999999996
0.5,0.006801176275750969,0.14187400000000003
0.5,0.00728932024638131,0.14116399999999996
0.5,0.0078125,0.14174599999999996
0.5,0.008373230176064788,0.14236599999999994
0.5,0.008974205898414337,0.141735
0.5,0.009618315729257157,0.14139900000000002
0.5,0.01030865555291324,0.14234500000000003
0.5,0.011048543456039806,0.14151
0.5,0.011841535675862483,0.14100200000000004
0.5,0.012691443693066181,0.14202900000000002
0.5,0.013602352551501938,0.141424
0.5,0.01457864049276262,0.14127300000000004
0.5,0.015625,0.14216499999999999
0.5,0.016746460352129577,0.14166399999999998
0.5,0.017948411796828673,0.14189200000000002
0.5,0.019236631458514314,0.14218799999999998
0.5,0.02061731110582648,0.14195400000000002
0.5,0.02209708691207961,0.14154700000000003
0.5,0.023683071351724965,0.141431
0.5,0.025382887386132362,0.142125
0.5,0.027204705103003875,0.14173300000000003
0.5,0.02915728098552524,0.14146400000000003
0.5,0.03125,0.141844
0.5,0.03349292070425915,0.142109
0.5,0.03589682359365735,0.14203300000000005
0.5,0.03847326291702863,0.141098
0.5,0.04123462221165296,0.14210799999999998
0.5,0.04419417382415922,0.14171899999999998
0.5,0.04736614270344993,0.141986
0.5,0.050765774772264724,0.142716
0.5,0.05440941020600775,0.141334
0.5,0.05831456197105048,0.141871
0.5,0.0625,0.141968
0.5,0.06698584140851832,0.141174
0.5,0.0717936471873147,0.141036
0.5,0.07694652583405726,0.140891
0.5,0.08246924442330589,0.141837
0.5,0.08838834764831845,0.140869
0.5,0.09473228540689989,0.141027
0.5,0.10153154954452945,0.142124
0.5,0.1088188204120155,0.14156899999999997
0.5,0.11662912394210093,0.141878
0.5,0.125,0.141589
0.5,0.13397168281703664,0.142254
0.5,0.1435872943746294,0.14232899999999998
0.5,0.1538930516681145,0.14137300000000003
0.5,0.16493848884661177,0.141627
0.5,0.1767766952966369,0.142713
0.5,0.18946457081379978,0.140949
0.5,0.2030630990890589,0.14145200000000002
0.5,0.217637640824031,0.141914
0.5,0.23325824788420185,0.142646
0.5,0.25,0.14065799999999998
5.0,2.3283064365386963e-10,0.002352999999999996
5.0,2.495417051334619e-10,0.0025179999999999964
5.0,2.6745217735810076e-10,0.0027080000000000138
5.0,2.8664814618996274e-10,0.0028519999999999965
5.0,3.072218761716254e-10,0.0023460000000000126
5.0,3.2927225399135965e-10,0.002345999999999999
5.0,3.529052637774496e-10,0.002297999999999998
5.0,3.782344965060405e-10,0.002488000000000006
5.0,4.053816959709509e-10,0.0020800000000000007
5.0,4.344773439396203e-10,0.0027629999999999964
5.0,4.656612873077393e-10,0.003113999999999988
5.0,4.990834102669238e-10,0.00199899999999999
5.0,5.349043547162015e-10,0.0023639999999999998
5.0,5.732962923799255e-10,0.0026179999999999906
5.0,6.144437523432508e-10,0.0021629999999999727
5.0,6.585445079827193e-10,0.0027549999999999892
5.0,7.058105275548992e-10,0.0021610000000000158
5.0,7.56468993012081e-10,0.0026070000000000047
5.0,8.107633919419018e-10,0.002818000000000006
5.0,8.689546878792406e-10,0.0026640000000000023
5.0,9.313225746154785e-10,0.002037999999999986
5.0,9.981668205338477e-10,0.0028339999999999863
5.0,1.069808709432403e-9,0.002980999999999987
5.0,1.146592584759851e-9,0.0028539999999999985
5.0,1.2288875046865017e-9,0.0022609999999999826
5.0,1.3170890159654386e-9,0.0034279999999999923
5.0,1.4116210551097985e-9,0.002283999999999989
5.0,1.512937986024162e-9,0.0018319999999999912
5.0,1.6215267838838037e-9,0.0025909999999999783
5.0,1.7379093757584813e-9,0.0030729999999999794
5.0,1.862645149230957e-9,0.0023909999999999843
5.0,1.9963336410676953e-9,0.0020579999999999904
5.0,2.139617418864806e-9,0.0023129999999999835
5.0,2.293185169519702e-9,0.002408999999999989
5.0,2.4577750093730034e-9,0.0031509999999999876
5.0,2.634178031930877e-9,0.0024640000000000035
5.0,2.823242110219597e-9,0.002760999999999996
5.0,3.025875972048324e-9,0.002664999999999998
5.0,3.2430535677676073e-9,0.001968000000000003
5.0,3.4758187515169625e-9,0.0023769999999999868
5.0,3.725290298461914e-9,0.002668999999999991
5.0,3.992667282135391e-9,0.0023769999999999998
5.0,4.279234837729612e-9,0.0025809999999999917
5.0,4.586370339039404e-9,0.002697999999999985
5.0,4.915550018746007e-9,0.002640999999999979
5.0,5.268356063861754e-9,0.0017979999999999925
5.0,5.646484220439194e-9,0.002010999999999998
5.0,6.051751944096648e-9,0.0024499999999999886
5.0,6.486107135535215e-9,0.00268299999999999
5.0,6.951637503033925e-9,0.0021149999999999928
5.0,7.450580596923828e-9,0.002750999999999995
5.0,7.985334564270781e-9,0.002529999999999995
5.0,8.558469675459224e-9,0.0024209999999999904
5.0,9.172740678078808e-9,0.0025369999999999998
5.0,9.831100037492013e-9,0.002833999999999999
5.0,1.0536712127723509e-8,0.0020570000000000106
5.0,1.1292968440878388e-8,0.002733999999999982
5.0,1.2103503888193296e-8,0.0031860000000000044
5.0,1.297221427107043e-8,0.0020649999999999957
5.0,1.390327500606785e-8,0.0017480000000000024
5.0,1.4901161193847656e-8,0.002149999999999991
5.0,1.5970669128541563e-8,0.0019739999999999897
5.0,1.711693935091845e-8,0.001934999999999994
5.0,1.8345481356157615e-8,0.0019210000000000115
5.0,1.9662200074984027e-8,0.0020329999999999793
5.0,2.1073424255447017e-8,0.002816000000000002
5.0,2.2585936881756776e-8,0.0022289999999999845
5.0,2.4207007776386593e-8,0.0024379999999999884
5.0,2.594442854214086e-8,0.002297000000000007
5.0,2.78065500121357e-8,0.0025530000000000145
5.0,2.9802322387695312e-8,0.003069999999999989
5.0,3.1941338257083125e-8,0.0027030000000000088
5.0,3.42338787018369e-8,0.002630999999999997
5.0,3.669096271231523e-8,0.002128999999999999
5.0,3.9324400149968054e-8,0.0026999999999999967
5.0,4.2146848510894035e-8,0.002304000000000018
5.0,4.517187376351355e-8,0.002152000000000003
5.0,4.8414015552773186e-8,0.0021519999999999903
5.0,5.188885708428172e-8,0.0018159999999999834
5.0,5.56131000242714e-8,0.002808999999999997
5.0,5.960464477539063e-8,0.0023969999999999933
5.0,6.388267651416625e-8,0.002549999999999995
5.0,6.84677574036738e-8,0.0020640000000000155
5.0,7.338192542463046e-8,0.002631999999999989
5.0,7.864880029993611e-8,0.002084999999999997
5.0,8.429369702178807e-8,0.0029239999999999956
5.0,9.03437475270271e-8,0.0020609999999999847
5.0,9.682803110554637e-8,0.0022589999999999815
5.0,1.0377771416856343e-7,0.0024899999999999896
5.0,1.112262000485428e-7,0.0024429999999999955
5.0,1.1920928955078125e-7,0.0022809999999999957
5.0,1.277653530283325e-7,0.002759000000000005
5.0,1.369355148073476e-7,0.0024610000000000127
5.0,1.4676385084926092e-7,0.0024890000000000077
5.0,1.5729760059987222e-7,0.0024019999999999966
5.0,1.6858739404357614e-7,0.0032850000000000054
5.0,1.806874950540542e-7,0.0026
5.0,1.9365606221109274e-7,0.0023910000000000025
5.0,2.0755542833712687e-7,0.0024679999999999863
5.0,2.224524000970856e-7,0.0017899999999999982
5.0,2.384185791015625e-7,0.002537000000000001
5.0,2.55530706056665e-7,0.0021859999999999905
5.0,2.738710296146952e-7,0.0028849999999999883
5.0,2.9352770169852185e-7,0.002819999999999995
5.0,3.1459520119974443e-7,0.002581999999999985
5.0,3.371747880871523e-7,0.002035999999999997
5.0,3.613749901081084e-7,0.0025719999999999966
5.0,3.873121244221855e-7,0.0024640000000000005
5.0,4.1511085667425373e-7,0.0021409999999999992
5.0,4.449048001941712e-7,0.002392999999999992
5.0,4.76837158203125e-7,0.002934999999999988
5.0,5.1106141211333e-7,0.0025300000000000036
5.0,5.477420592293904e-7,0.00236699999999999
5.0,5.870554033970437e-7,0.0028839999999999894
5.0,6.291904023994889e-7,0.0019830000000000143
5.0,6.743495761743046e-7,0.0022709999999999753
5.0,7.227499802162168e-7,0.0022630000000000055
5.0,7.74624248844371e-7,0.002275999999999983
5.0,8.302217133485075e-7,0.0024709999999999906
5.0,8.898096003883424e-7,0.002604999999999977
5.0,9.5367431640625e-7,0.0022639999999999943
5.0,1.02212282422666e-6,0.002842999999999986
5.0,1.0954841184587807e-6,0.002808999999999989
5.0,1.1741108067940874e-6,0.002701000000000005
5.0,1.2583808047989777e-6,0.0020349999999999956
5.0,1.3486991523486091e-6,0.001732000000000005
5.0,1.4454999604324336e-6,0.002743000000000001
5.0,1.549248497688742e-6,0.0016300000000000012
5.0,1.660443426697015e-6,0.0023069999999999953
5.0,1.7796192007766848e-6,0.0029320000000000053
5.0,1.9073486328125e-6,0.0027030000000000166
5.0,2.04424564845332e-6,0.0023849999999999835
5.0,2.1909682369175614e-6,0.003425000000000006
5.0,2.3482216135881748e-6,0.0019330000000000083
5.0,2.5167616095979554e-6,0.001880999999999992
5.0,2.6973983046972182e-6,0.002959999999999995
5.0,2.8909999208648673e-6,0.002467000000000004
5.0,3.098496995377484e-6,0.0024370000000000103
5.0,3.32088685339403e-6,0.003127999999999996
5.0,3.5592384015533696e-6,0.002376
5.0,3.814697265625e-6,0.0019519999999999778
5.0,4.08849129690664e-6,0.002198000000000005
5.0,4.381936473835123e-6,0.0019399999999999838
5.0,4.6964432271763496e-6,0.002326000000000001
5.0,5.033523219195911e-6,0.0024009999999999865
5.0,5.3947966093944364e-6,0.002022000000000012
5.0,5.781999841729735e-6,0.002991999999999991
5.0,6.196993990754968e-6,0.002285000000000005
5.0,6.64177370678806e-6,0.002917999999999989
5.0,7.118476803106739e-6,0.0019259999999999852
5.0,7.62939453125e-6,0.002241999999999999
5.0,8.17698259381328e-6,0.0023720000000000017
5.0,8.763872947670246e-6,0.002131000000000003
5.0,9.392886454352699e-6,0.002536999999999988
5.0,1.0067046438391822e-5,0.002659999999999989
5.0,1.0789593218788873e-5,0.0016229999999999877
5.0,1.156399968345947e-5,0.0018550000000000038
5.0,1.2393987981509936e-5,0.002874999999999994
5.0,1.328354741357612e-5,0.002365000000000008
5.0,1.4236953606213478e-5,0.0022089999999999744
5.0,1.52587890625e-5,0.0022149999999999882
5.0,1.635396518762654e-5,0.00213999999999998
5.0,1.752774589534049e-5,0.0024999999999999805
5.0,1.8785772908705398e-5,0.0024770000000000052
5.0,2.013409287678367e-5,0.002543999999999998
5.0,2.1579186437577746e-5,0.002372000000000014
5.0,2.312799936691891e-5,0.0019019999999999922
5.0,2.478797596301987e-5,0.002201999999999996
5.0,2.656709482715224e-5,0.0025510000000000025
5.0,2.847390721242699e-5,0.001911999999999992
5.0,3.0517578125e-5,0.0027369999999999877
5.0,3.270793037525308e-5,0.002443999999999982
5.0,3.505549179068098e-5,0.0022829999999999973
5.0,3.7571545817410796e-5,0.0021009999999999814
5.0,4.026818575356734e-5,0.002387999999999985
5.0,4.315837287515549e-5,0.0028890000000000144
5.0,4.625599873383782e-5,0.002547000000000009
5.0,4.957595192603974e-5,0.002674999999999995
5.0,5.313418965430448e-5,0.002334999999999994
5.0,5.694781442485398e-5,0.0026720000000000138
5.0,6.103515625e-5,0.0027370000000000107
5.0,6.541586075050616e-5,0.0024139999999999934
5.0,7.011098358136196e-5,0.002626999999999983
5.0,7.514309163482159e-5,0.002817000000000007
5.0,8.053637150713468e-5,0.0018219999999999868
5.0,8.631674575031098e-5,0.002628999999999984
5.0,9.251199746767564e-5,0.0025119999999999977
5.0,9.915190385207948e-5,0.0022609999999999944
5.0,0.00010626837930860896,0.0025280000000000124
5.0,0.00011389562884970796,0.002384999999999988
5.0,0.0001220703125,0.0028079999999999885
5.0,0.00013083172150101232,0.0028829999999999824
5.0,0.00014022196716272393,0.0026999999999999984
5.0,0.00015028618326964319,0.0027159999999999867
5.0,0.00016107274301426937,0.0026539999999999936
5.0,0.00017263349150062197,0.0025829999999999885
5.0,0.0001850239949353513,0.0034389999999999998
5.0,0.00019830380770415897,0.0024469999999999865
5.0,0.0002125367586172179,0.0027359999999999845
5.0,0.00022779125769941593,0.003344999999999986
5.0,0.000244140625,0.0025850000000000053
5.0,0.00026166344300202464,0.0034459999999999955
5.0,0.00028044393432544786,0.0030769999999999864
5.0,0.00030057236653928637,0.003338999999999983
5.0,0.00032214548602853873,0.002843999999999977
5.0,0.00034526698300124393,0.003617999999999989
5.0,0.0003700479898707026,0.0034129999999999885
5.0,0.00039660761540831794,0.00353799999999998
5.0,0.0004250735172344358,0.004081
5.0,0.00045558251539883185,0.00435199999999999
5.0,0.00048828125,0.004781999999999988
5.0,0.0005233268860040493,0.004760999999999998
5.0,0.0005608878686508957,0.005141999999999983
5.0,0.0006011447330785727,0.004942999999999982
5.0,0.0006442909720570775,0.005247999999999973
5.0,0.0006905339660024879,0.005740999999999976
5.0,0.0007400959797414052,0.006755999999999981
5.0,0.0007932152308166359,0.006932999999999983
5.0,0.0008501470344688716,0.006662999999999986
5.0,0.0009111650307976637,0.008208999999999994
5.0,0.0009765625,0.008657999999999997
5.0,0.0010466537720080985,0.009493999999999983
5.0,0.0011217757373017914,0.009877999999999986
5.0,0.0012022894661571455,0.010655999999999985
5.0,0.001288581944114155,0.01164899999999999
5.0,0.0013810679320049757,0.014141999999999986
5.0,0.0014801919594828103,0.014771999999999983
5.0,0.0015864304616332718,0.015334999999999984
5.0,0.0017002940689377433,0.016822999999999994
5.0,0.0018223300615953274,0.01943999999999998
5.0,0.001953125,0.022200999999999985
5.0,0.002093307544016197,0.023205999999999987
5.0,0.002243551474603583,0.026570999999999994
5.0,0.002404578932314291,0.030342999999999995
5.0,0.00257716388822831,0.033242999999999995
5.0,0.0027621358640099515,0.039845999999999986
5.0,0.0029603839189656206,0.043307999999999985
5.0,0.0031728609232665435,0.05330699999999999
5.0,0.0034005881378754866,0.061341999999999994
5.0,0.003644660123190655,0.074811
5.0,0.00390625,0.091809
5.0,0.004186615088032394,0.114311
5.0,0.004487102949207168,0.146057
5.0,0.0048091578646285785,0.18483
5.0,0.00515432777645662,0.23732299999999998
5.0,0.005524271728019903,0.300578
5.0,0.005920767837931241,0.360118
5.0,0.0063457218465330905,0.565818
5.0,0.006801176275750969,0.5673470000000002
5.0,0.00728932024638131,0.567831
5.0,0.0078125,0.566888
5.0,0.008373230176064788,0.567524
5.0,0.008974205898414337,0.567358
5.0,0.009618315729257157,0.567227
5.0,0.01030865555291324,0.56746
5.0,0.011048543456039806,0.5668050000000001
5.0,0.011841535675862483,0.567232
5.0,0.012691443693066181,0.5676019999999999
5.0,0.013602352551501938,0.5673980000000001
5.0,0.01457864049276262,0.568046
5.0,0.015625,0.567209
5.0,0.016746460352129577,0.566516
5.0,0.017948411796828673,0.567776
5.0,0.019236631458514314,0.5678130000000001
5.0,0.02061731110582648,0.5676889999999999
5.0,0.02209708691207961,0.704854
5.0,0.023683071351724965,0.704637
5.0,0.025382887386132362,0.704876
5.0,0.027204705103003875,0.7039909999999999
5.0,0.02915728098552524,0.704724
5.0,0.03125,0.7040919999999999
5.0,0.03349292070425915,0.7040560000000002
5.0,0.03589682359365735,0.7049770000000001
5.0,0.03847326291702863,0.704812
5.0,0.04123462221165296,0.7051780000000001
5.0,0.04419417382415922,0.7044
5.0,0.04736614270344993,0.703996
5.0,0.050765774772264724,0.705026
5.0,0.05440941020600775,0.7042079999999998
5.0,0.05831456197105048,0.704775
5.0,0.0625,0.704689
5.0,0.06698584140851832,0.7046279999999999
5.0,0.0717936471873147,0.7052419999999998
5.0,0.07694652583405726,0.7040759999999999
5.0,0.08246924442330589,0.704092
5.0,0.08838834764831845,0.7048179999999998
5.0,0.09473228540689989,0.704336
5.0,0.10153154954452945,0.704399
5.0,0.1088188204120155,0.705576
5.0,0.11662912394210093,0.705179
